hold_days,exit_price,exit_reason,pnl_pct,max_profit,max_drawdown,stock_code,signal_date,signal_type,entry_price,wave_gain,consolidation_drawdown,industry,sector_momentum,sector_strong,market_regime,index_code,_hold_bin
3,41.39,final,0.04864454015708137,0.1112237142133266,0.0,sh.600105,2026-04-16,anomaly_no_decline,39.47,0.1917205420563619,0.026548672566371754,银行/金融,0.0007623308611444349,False,bull,sh.000300,1-3天
2,41.39,final,0.0021791767554480246,0.06198547215496374,0.0,sh.600105,2026-04-17,anomaly_no_decline,41.3,0.1917205420563619,0.026548672566371754,银行/金融,0.0007623308611444349,False,bull,sh.000300,1-3天
1,41.39,final,-0.009808612440191307,0.011961722488038277,0.0,sh.600105,2026-04-20,anomaly_no_decline,41.8,0.1917205420563619,0.026548672566371754,银行/金融,0.0007623308611444349,False,bull,sh.000300,1-3天
3,41.39,final,0.04864454015708137,0.1112237142133266,0.0,sh.600105,2026-04-16,anomaly_no_decline,39.47,0.25803099420005293,0.059173126614987234,银行/金融,0.0007623308611444349,False,bull,sh.000300,1-3天
2,41.39,final,0.0021791767554480246,0.06198547215496374,0.0,sh.600105,2026-04-17,anomaly_no_decline,41.3,0.25803099420005293,0.059173126614987234,银行/金融,0.0007623308611444349,False,bull,sh.000300,1-3天
1,41.39,final,-0.009808612440191307,0.011961722488038277,0.0,sh.600105,2026-04-20,anomaly_no_decline,41.8,0.25803099420005293,0.059173126614987234,银行/金融,0.0007623308611444349,False,bull,sh.000300,1-3天
8,7.31,trailing_stop,0.05788712011577416,0.16931982633863965,0.03762662807525322,sh.600107,2025-11-12,anomaly_no_decline,6.91,0.2569386334484829,0.17064846416382243,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
7,7.31,trailing_stop,0.006887052341597772,0.1129476584022039,-0.00275482093663906,sh.600107,2025-11-13,anomaly_no_decline,7.26,0.2569386334484829,0.17064846416382243,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
1,6.909,stop_loss,-0.028270042194092897,0.022503516174402143,-0.04360056258790443,sh.600107,2025-12-09,anomaly_no_decline,7.11,0.15038998264469727,0.07480314960629925,银行/金融,0.0007623308611444349,False,bull,sh.000300,1-3天
1,6.909,stop_loss,0.07282608695652164,0.049689440993788726,0.009316770186335343,sh.600107,2025-12-18,anomaly_no_decline,6.44,0.15038998264469727,0.07480314960629925,银行/金融,0.0007623308611444349,False,range,sh.000300,1-3天
18,6.321,stop_loss,-0.07857142857142865,0.0903790087463557,-0.11953352769679304,sh.600107,2025-12-30,bullish_engulfing,6.86,0.16182386709536556,0.10167130919220049,银行/金融,0.0007623308611444349,False,bull,sh.000300,11天+
5,4.586399999999999,stop_loss,-0.05823408624229995,0.06981519507186855,-0.07597535934291583,sh.600108,2026-03-24,anomaly_no_decline,4.87,0.40095725784398306,0.11531190926275998,银行/金融,0.0007623308611444349,False,bear,sh.000300,4-5天
1,4.586399999999999,stop_loss,-0.0640000000000002,0.010204081632653024,-0.08163265306122455,sh.600108,2026-03-30,anomaly_no_decline,4.9,0.40095725784398306,0.11531190926275998,银行/金融,0.0007623308611444349,False,bear,sh.000300,1-3天
1,4.586399999999999,stop_loss,-0.011551724137931103,0.012931034482758728,-0.028017241379310324,sh.600108,2026-04-01,anomaly_no_decline,4.64,0.40095725784398306,0.11531190926275998,银行/金融,0.0007623308611444349,False,bear,sh.000300,1-3天
15,6.6346,stop_loss,-0.14170763260025881,0.049159120310478525,-0.15912031047865463,sh.600110,2025-11-25,bullish_engulfing,7.73,0.24220191194990748,0.1930870083432659,银行/金融,0.0007623308611444349,False,bear,sh.000300,11天+
7,7.67,trailing_stop,-0.009043927648578847,0.11886304909560723,-0.014211886304909601,sh.600110,2026-03-10,bullish_engulfing,7.74,0.22992543643902041,0.16174734356552548,银行/金融,0.0007623308611444349,False,bear,sh.000300,6-10天
12,8.75,trailing_stop,0.08024691358024696,0.2135802469135803,-0.12839506172839507,sh.600110,2026-03-18,anomaly_no_decline,8.1,0.22992543643902041,0.16174734356552548,银行/金融,0.0007623308611444349,False,bear,sh.000300,11天+
8,9.99,trailing_stop,0.03738317757009339,0.12980269989615784,-0.013499480789200496,sh.600110,2026-04-07,anomaly_no_decline,9.63,0.2304556136953837,0.07809110629067252,银行/金融,0.0007623308611444349,False,bear,sh.000300,6-10天
7,9.99,trailing_stop,0.017311608961303456,0.10794297352342164,-0.031568228105906364,sh.600110,2026-04-08,anomaly_no_decline,9.82,0.2304556136953837,0.07809110629067252,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
6,9.99,final,-0.019627085377821325,0.06771344455348394,0.0,sh.600110,2026-04-13,anomaly_no_decline,10.19,0.2304556136953837,0.07809110629067252,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
5,9.99,final,-0.036644165863066444,0.04918032786885261,0.0,sh.600110,2026-04-14,anomaly_no_decline,10.37,0.2304556136953837,0.07809110629067252,银行/金融,0.0007623308611444349,False,bull,sh.000300,4-5天
1,49.5684,stop_loss,0.03656210790464234,0.0,-0.035131744040150556,sh.600111,2026-03-25,bullish_engulfing,47.82,0.17606452413984397,0.11881533101045297,银行/金融,0.0007623308611444349,False,bear,sh.000300,1-3天
12,61.328046,trailing_stop,0.1222627737226278,0.2569343065693431,-0.030474452554744468,sh.600113,2025-11-28,bullish_engulfing,54.6467792,0.32091599753082134,0.11850242353334445,银行/金融,0.0007623308611444349,False,bear,sh.000300,11天+
10,32.19,trailing_stop,0.0034289276807979874,0.12842892768079817,-0.005610972568578545,sh.600114,2026-02-09,bullish_engulfing,32.08,0.16898365105975044,0.11931330472103008,银行/金融,0.0007623308611444349,False,range,sh.000300,6-10天
20,5.12,time_exit,0.02195608782435136,0.09381237524950113,-0.029940119760478938,sh.600115,2025-11-03,bullish_engulfing,5.01,0.19052985162318725,0.04655870445344138,银行/金融,0.0007623308611444349,False,bull,sh.000300,11天+
20,5.22,time_exit,-0.0076045627376425924,0.04182509505703434,-0.07414448669201515,sh.600115,2025-11-10,bullish_engulfing,5.26,0.19052985162318725,0.04655870445344138,银行/金融,0.0007623308611444349,False,range,sh.000300,11天+
4,52.82,trailing_stop,0.0041825095057034,0.10190114068441063,-0.03041825095057037,sh.600118,2025-12-11,anomaly_no_decline,52.6,0.16479545607197332,0.024499795835034623,银行/金融,0.0007623308611444349,False,range,sh.000300,4-5天
6,60.11,trailing_stop,0.08835777657070439,0.2239724787253304,-0.07658881042911456,sh.600118,2025-12-15,bullish_engulfing,55.23,0.16479545607197332,0.024499795835034623,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
3,60.11,trailing_stop,0.06748357307760605,0.20049724738057167,0.003374178653880265,sh.600118,2025-12-18,bullish_engulfing,56.31,0.16479545607197332,0.024499795835034623,银行/金融,0.0007623308611444349,False,range,sh.000300,1-3天
7,86.32,trailing_stop,0.47002724795640316,0.6357288828337875,-0.00647138964577649,sh.600118,2025-12-19,anomaly_no_decline,58.72,0.16479545607197332,0.024499795835034623,银行/金融,0.0007623308611444349,False,range,sh.000300,6-10天
6,86.32,trailing_stop,0.3602269145918688,0.5135518436810589,-0.08068074377560663,sh.600118,2025-12-22,anomaly_no_decline,63.46,0.16479545607197332,0.024499795835034623,银行/金融,0.0007623308611444349,False,range,sh.000300,6-10天
4,86.32,trailing_stop,0.305505142165759,0.4526618269812461,0.013309134906231024,sh.600118,2025-12-24,anomaly_no_decline,66.12,0.16479545607197332,0.024499795835034623,银行/金融,0.0007623308611444349,False,bull,sh.000300,4-5天
3,86.32,trailing_stop,0.18685549291901538,0.32063797607589706,0.0019249278152069374,sh.600118,2025-12-25,anomaly_no_decline,72.73,0.1895943202677599,0.08068074377560663,银行/金融,0.0007623308611444349,False,bull,sh.000300,1-3天
6,100.23,trailing_stop,0.25287500000000007,0.36237499999999995,-0.05050000000000008,sh.600118,2025-12-26,anomaly_no_decline,80.0,0.1895943202677599,0.08068074377560663,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
5,100.23,trailing_stop,0.13897727272727278,0.23852272727272722,-0.03999999999999995,sh.600118,2025-12-29,anomaly_no_decline,88.0,0.1895943202677599,0.08068074377560663,银行/金融,0.0007623308611444349,False,bull,sh.000300,4-5天
